name,n_jobs,n_machines,best_known_makespan,source_optimum
ta01,15,15,1231,proven_optimal
ta02,15,15,1244,proven_optimal
ta03,15,15,1218,proven_optimal
ta04,15,15,1175,proven_optimal
ta05,15,15,1224,proven_optimal
ta06,15,15,1238,proven_optimal
ta07,15,15,1227,proven_optimal
ta08,15,15,1217,proven_optimal
ta09,15,15,1274,proven_optimal
ta10,15,15,1241,proven_optimal
ta11,20,15,1357,best_known
ta12,20,15,1367,best_known
ta13,20,15,1342,best_known
ta14,20,15,1345,proven_optimal
ta15,20,15,1339,best_known
ta16,20,15,1360,best_known
ta17,20,15,1462,best_known
ta18,20,15,1396,best_known
ta19,20,15,1332,best_known
ta20,20,15,1348,best_known
ta21,20,20,1642,best_known
ta22,20,20,1600,best_known
ta23,20,20,1557,best_known
ta24,20,20,1644,best_known
ta25,20,20,1595,best_known
ta26,20,20,1643,best_known
ta27,20,20,1680,best_known
ta28,20,20,1603,best_known
ta29,20,20,1625,best_known
ta30,20,20,1584,best_known
ta31,30,15,1764,best_known
ta32,30,15,1784,best_known
ta33,30,15,1791,best_known
ta34,30,15,1828,best_known
ta35,30,15,2007,best_known
ta36,30,15,1819,best_known
ta37,30,15,1771,best_known
ta38,30,15,1673,best_known
ta39,30,15,1795,best_known
ta40,30,15,1669,best_known
ta41,30,20,2005,best_known
ta42,30,20,1937,best_known
ta43,30,20,1846,best_known
ta44,30,20,1979,best_known
ta45,30,20,2000,best_known
ta46,30,20,2006,best_known
ta47,30,20,1889,best_known
ta48,30,20,1937,best_known
ta49,30,20,1963,best_known
ta50,30,20,1923,best_known
ta51,50,15,2760,best_known
ta52,50,15,2756,best_known
ta53,50,15,2717,best_known
ta54,50,15,2839,best_known
ta55,50,15,2679,best_known
ta56,50,15,2781,best_known
ta57,50,15,2943,best_known
ta58,50,15,2885,best_known
ta59,50,15,2655,best_known
ta60,50,15,2723,best_known
ta61,50,20,2868,best_known
ta62,50,20,2869,best_known
ta63,50,20,2755,best_known
ta64,50,20,2702,best_known
ta65,50,20,2725,best_known
ta66,50,20,2845,best_known
ta67,50,20,2825,best_known
ta68,50,20,2784,best_known
ta69,50,20,3071,best_known
ta70,50,20,2995,best_known
ta71,100,20,5464,best_known
ta72,100,20,5181,best_known
ta73,100,20,5568,best_known
ta74,100,20,5339,best_known
ta75,100,20,5392,best_known
ta76,100,20,5342,best_known
ta77,100,20,5436,best_known
ta78,100,20,5394,best_known
ta79,100,20,5358,best_known
ta80,100,20,5183,best_known
